Delay,Bandwidth,Source IP address,Destination IP address,date_year,date_month_no,date_day,hour,min,sec
0.000112,74,82,81,2022,8,9,14,17,40
0.00469,1506,79,83,2022,8,9,14,17,40
0,1506,79,83,2022,8,9,14,17,40
0,1506,79,83,2022,8,9,14,17,40
0,1506,79,83,2022,8,9,14,17,40
0.000203,74,82,81,2022,8,9,14,17,40
0.004706,1506,79,83,2022,8,9,14,17,40
0,1506,79,83,2022,8,9,14,17,40
0,1506,79,83,2022,8,9,14,17,40
0,1506,79,83,2022,8,9,14,17,40
0.000153,74,82,81,2022,8,9,14,17,40
0.005172,1506,79,83,2022,8,9,14,17,40
0,1506,79,83,2022,8,9,14,17,40
0,1506,79,83,2022,8,9,14,17,40
0,1506,79,83,2022,8,9,14,17,40
0,1506,79,83,2022,8,9,14,17,40
0.000132,74,82,81,2022,8,9,14,17,40
0.005482,586,79,83,2022,8,9,14,17,40
0,1506,79,83,2022,8,9,14,17,40
0,1506,79,83,2022,8,9,14,17,40
0,1506,79,83,2022,8,9,14,17,40
0,1506,79,83,2022,8,9,14,17,40
0.000155,74,82,81,2022,8,9,14,17,40
0.004658,1506,79,83,2022,8,9,14,17,40
0,1506,79,83,2022,8,9,14,17,40
0,1506,79,83,2022,8,9,14,17,40
0,1506,79,83,2022,8,9,14,17,40
0.000129,74,82,81,2022,8,9,14,17,40
0.00491,1506,79,83,2022,8,9,14,17,40
0,1506,79,83,2022,8,9,14,17,40
0,1506,79,83,2022,8,9,14,17,40
0,1506,79,83,2022,8,9,14,17,40
0.000124,74,82,81,2022,8,9,14,17,40
0.003448,1506,79,83,2022,8,9,14,17,40
0,1506,79,83,2022,8,9,14,17,40
0,1506,79,83,2022,8,9,14,17,40
8.20E-05,74,82,81,2022,8,9,14,17,40
0.00124,634,79,83,2022,8,9,14,17,40
5.90E-05,74,82,81,2022,8,9,14,17,40
14.631078,147,67,83,2022,8,9,14,17,40
0.000382,74,82,71,2022,8,9,14,17,40
0.049069,74,67,83,2022,8,9,14,17,40
0.000132,74,82,71,2022,8,9,14,17,40
44.69727,55,18,8,2022,8,9,14,17,40
0.164035,66,9,18,2022,8,9,14,17,41
45.012857,75,82,54,2022,8,9,14,17,41
0.011367,86,50,83,2022,8,9,14,17,41
44.967504,55,18,102,2022,8,9,14,17,41
0.059978,66,101,18,2022,8,9,14,17,41
45.001655,55,18,99,2022,8,9,14,17,41
0.066583,66,98,18,2022,8,9,14,17,41
45.005165,75,82,53,2022,8,9,14,17,41
0.011355,86,49,83,2022,8,9,14,17,41
0,86,119,83,2022,8,9,14,17,43
0,86,82,120,2022,8,9,14,17,43
45.01605,75,82,55,2022,8,9,14,17,43
0.011599,86,51,83,2022,8,9,14,17,43
45.009741,55,18,95,2022,8,9,14,17,43
45.006447,55,18,98,2022,8,9,14,17,43
0.04912,66,97,18,2022,8,9,14,17,43
0.207923,66,94,18,2022,8,9,14,17,43
45.012385,55,18,107,2022,8,9,14,17,43
0.061178,66,106,18,2022,8,9,14,17,43
44.953689,55,18,24,2022,8,9,14,17,43
0.198123,66,24,18,2022,8,9,14,17,44
35.016983,74,82,76,2022,8,9,14,17,44
35.019482,74,82,68,2022,8,9,14,17,44
0,89,18,16,2022,8,9,14,17,44
0,89,18,16,2022,8,9,14,17,44
0,168,17,18,2022,8,9,14,17,44
0,169,17,18,2022,8,9,14,17,44
0,66,18,117,2022,8,9,14,17,44
0.011822,66,116,18,2022,8,9,14,17,44
0.000105,54,18,117,2022,8,9,14,17,44
0.00054,571,18,117,2022,8,9,14,17,44
0.011156,54,116,18,2022,8,9,14,17,44
0.000573,288,116,18,2022,8,9,14,17,44
0.058443,74,72,83,2022,8,9,14,17,44
0.000179,74,82,76,2022,8,9,14,17,44
0.056514,74,64,83,2022,8,9,14,17,44
7.80E-05,74,82,68,2022,8,9,14,17,44
0.01696,118,18,117,2022,8,9,14,17,44
0.000359,146,18,117,2022,8,9,14,17,44
0.000276,365,18,117,2022,8,9,14,17,44
0.009744,60,116,18,2022,8,9,14,17,44
0,60,116,18,2022,8,9,14,17,44
0.000626,200,116,18,2022,8,9,14,17,44
0.000433,125,116,18,2022,8,9,14,17,44
5.60E-05,54,18,117,2022,8,9,14,17,44
8.00E-05,60,116,18,2022,8,9,14,17,44
0.000132,85,18,117,2022,8,9,14,17,44
0.015765,392,116,18,2022,8,9,14,17,44
0.000526,60,116,18,2022,8,9,14,17,44
0.046079,54,18,117,2022,8,9,14,17,44
0.255412,195,17,18,2022,8,9,14,17,45
0.0003,169,17,18,2022,8,9,14,17,45
0.298499,198,17,18,2022,8,9,14,17,45
0.000151,169,17,18,2022,8,9,14,17,45
39.961476,110,18,108,2022,8,9,14,17,46
0.072793,99,107,18,2022,8,9,14,17,46
0.053235,54,18,108,2022,8,9,14,17,46
0,82,18,16,2022,8,9,14,17,48
0,82,18,16,2022,8,9,14,17,48
0.005009,82,17,18,2022,8,9,14,17,48
79.167091,54,18,27,2022,8,9,14,17,48
0.018118,232,17,18,2022,8,9,14,17,48
0,66,18,27,2022,8,9,14,17,48
0,66,18,89,2022,8,9,14,17,48
0.062795,54,27,18,2022,8,9,14,17,48
0.000127,54,18,27,2022,8,9,14,17,48
0.062209,66,27,18,2022,8,9,14,17,48
7.80E-05,54,18,27,2022,8,9,14,17,48
0.004758,273,18,27,2022,8,9,14,17,48
