,Delay,Date,Time,Source IP address,Destination IP address,Bandwidth,date_year,date_month_no,date_day,hour,min,sec
142,0.002209,2022-08-09,2022-08-29 14:16:28,57,83,74,2022,8,9,14,16,28
143,0.000875,2022-08-09,2022-08-29 14:16:28,82,61,161,2022,8,9,14,16,28
144,0.000131,2022-08-09,2022-08-29 14:16:28,82,61,112,2022,8,9,14,16,28
145,0.001244,2022-08-09,2022-08-29 14:16:28,82,61,1474,2022,8,9,14,16,28
146,0.0,2022-08-09,2022-08-29 14:16:28,82,61,1357,2022,8,9,14,16,28
147,0.000329,2022-08-09,2022-08-29 14:16:28,82,61,147,2022,8,9,14,16,28
148,0.000292,2022-08-09,2022-08-29 14:16:28,82,61,112,2022,8,9,14,16,28
149,0.011228,2022-08-09,2022-08-29 14:16:28,57,83,74,2022,8,9,14,16,28
150,0.000925,2022-08-09,2022-08-29 14:16:28,57,83,74,2022,8,9,14,16,28
151,0.013091,2022-08-09,2022-08-29 14:16:28,57,83,74,2022,8,9,14,16,28
152,0.0,2022-08-09,2022-08-29 14:16:28,57,83,112,2022,8,9,14,16,28
153,0.000124,2022-08-09,2022-08-29 14:16:28,82,61,74,2022,8,9,14,16,28
154,0.000503,2022-08-09,2022-08-29 14:16:28,57,83,74,2022,8,9,14,16,28
155,0.042457,2022-08-09,2022-08-29 14:16:28,45,83,1506,2022,8,9,14,16,28
156,0.004707,2022-08-09,2022-08-29 14:16:28,57,83,74,2022,8,9,14,16,28
157,0.0,2022-08-09,2022-08-29 14:16:28,45,83,1506,2022,8,9,14,16,28
158,0.0,2022-08-09,2022-08-29 14:16:28,45,83,1506,2022,8,9,14,16,28
159,0.000182,2022-08-09,2022-08-29 14:16:28,82,49,74,2022,8,9,14,16,28
160,0.00014,2022-08-09,2022-08-29 14:16:28,45,83,219,2022,8,9,14,16,28
161,4.9e-05,2022-08-09,2022-08-29 14:16:28,82,49,74,2022,8,9,14,16,28
162,0.000635,2022-08-09,2022-08-29 14:16:28,57,83,74,2022,8,9,14,16,28
163,0.0,2022-08-09,2022-08-29 14:16:28,57,83,74,2022,8,9,14,16,28
164,0.016108,2022-08-09,2022-08-29 14:16:28,82,49,232,2022,8,9,14,16,28
165,0.000836,2022-08-09,2022-08-29 14:16:28,82,49,161,2022,8,9,14,16,28
166,0.000468,2022-08-09,2022-08-29 14:16:28,82,49,1099,2022,8,9,14,16,28
167,0.051465,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
168,0.000122,2022-08-09,2022-08-29 14:16:28,82,61,74,2022,8,9,14,16,28
169,0.000462,2022-08-09,2022-08-29 14:16:28,57,83,623,2022,8,9,14,16,28
170,6.8e-05,2022-08-09,2022-08-29 14:16:28,82,61,74,2022,8,9,14,16,28
171,0.000117,2022-08-09,2022-08-29 14:16:28,57,83,112,2022,8,9,14,16,28
172,5.6e-05,2022-08-09,2022-08-29 14:16:28,82,61,74,2022,8,9,14,16,28
173,0.036904,2022-08-09,2022-08-29 14:16:28,45,83,74,2022,8,9,14,16,28
174,0.001787,2022-08-09,2022-08-29 14:16:28,45,83,125,2022,8,9,14,16,28
175,0.0,2022-08-09,2022-08-29 14:16:28,45,83,143,2022,8,9,14,16,28
176,0.0,2022-08-09,2022-08-29 14:16:28,45,83,112,2022,8,9,14,16,28
177,0.000199,2022-08-09,2022-08-29 14:16:28,82,49,74,2022,8,9,14,16,28
178,0.000799,2022-08-09,2022-08-29 14:16:28,82,49,112,2022,8,9,14,16,28
179,0.006955,2022-08-09,2022-08-29 14:16:28,82,61,625,2022,8,9,14,16,28
180,0.023061,2022-08-09,2022-08-29 14:16:28,57,83,74,2022,8,9,14,16,28
181,0.014618,2022-08-09,2022-08-29 14:16:28,57,83,1462,2022,8,9,14,16,28
182,9.2e-05,2022-08-09,2022-08-29 14:16:28,82,61,74,2022,8,9,14,16,28
183,0.013659,2022-08-09,2022-08-29 14:16:28,57,83,467,2022,8,9,14,16,28
184,0.000202,2022-08-09,2022-08-29 14:16:28,82,61,74,2022,8,9,14,16,28
185,0.000201,2022-08-09,2022-08-29 14:16:28,57,83,112,2022,8,9,14,16,28
186,6.6e-05,2022-08-09,2022-08-29 14:16:28,82,61,74,2022,8,9,14,16,28
187,0.090631,2022-08-09,2022-08-29 14:16:28,45,83,74,2022,8,9,14,16,28
188,0.068949,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
189,0.000122,2022-08-09,2022-08-29 14:16:28,82,61,74,2022,8,9,14,16,28
190,0.005505,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
191,0.0,2022-08-09,2022-08-29 14:16:28,57,83,907,2022,8,9,14,16,28
192,0.0,2022-08-09,2022-08-29 14:16:28,57,83,160,2022,8,9,14,16,28
193,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
194,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
195,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1344,2022,8,9,14,16,28
196,0.000231,2022-08-09,2022-08-29 14:16:28,82,61,74,2022,8,9,14,16,28
197,0.002108,2022-08-09,2022-08-29 14:16:28,82,61,116,2022,8,9,14,16,28
198,0.002551,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
199,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
200,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1344,2022,8,9,14,16,28
201,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
202,0.000186,2022-08-09,2022-08-29 14:16:28,82,61,74,2022,8,9,14,16,28
203,0.004505,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
204,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1344,2022,8,9,14,16,28
205,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
206,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
207,0.00018,2022-08-09,2022-08-29 14:16:28,82,61,74,2022,8,9,14,16,28
208,0.006599,2022-08-09,2022-08-29 14:16:28,57,83,1344,2022,8,9,14,16,28
209,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
210,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
